timestamp,city,aqi,wind_speed,humidity,date,hour,month,weather
2025-01-20 22:53:00.802887+07:00,Hà Nội,237,13.7,47.0,2025-01-20,22,1,Night Clear Sky
2025-01-20 23:00:33.773883+07:00,Hà Nội,237,13.7,47.0,2025-01-20,23,1,Night Clear Sky
2025-01-20 23:03:37.661401+07:00,Hà Nội,237,13.7,47.0,2025-01-20,23,1,Night Clear Sky
2025-01-20 23:11:20.857578+07:00,Hà Nội,235,11.6,49.0,2025-01-20,23,1,Night Clear Sky
2025-01-21 03:03:26.115976+07:00,Hà Nội,256,9.2,55.0,2025-01-21,3,1,Night Clear Sky
2025-01-21 07:11:28.067557+07:00,Hà Nội,263,6.8,66.0,2025-01-21,7,1,Clear Sky
2025-01-21 11:03:42.549216+07:00,Hà Nội,231,10.3,41.0,2025-01-21,11,1,Clear Sky
2025-01-21 14:02:00.876386+07:00,Hà Nội,163,11.3,29.0,2025-01-21,14,1,Clear Sky
2025-01-21 15:01:51.816029+07:00,Hà Nội,158,12.1,28.0,2025-01-21,15,1,Clear Sky
2025-01-21 16:02:03.699974+07:00,Hà Nội,156,14.0,28.0,2025-01-21,16,1,Clear Sky
2025-01-21 17:01:50.023790+07:00,Hà Nội,153,17.2,29.0,2025-01-21,17,1,Clear Sky
2025-01-21 18:01:47.836746+07:00,Hà Nội,153,20.8,33.0,2025-01-21,18,1,Clear Sky
2025-01-21 19:02:15.131836+07:00,Hà Nội,155,23.7,41.0,2025-01-21,19,1,Night Clear Sky
2025-01-21 19:52:28.346453+07:00,Hà Nội,167,21.4,46.0,2025-01-21,19,1,Night Clear Sky
2025-01-21 20:05:27.721865+07:00,Hà Nội,167,18.2,54.0,2025-01-21,20,1,Night Few Clouds
2025-01-21 21:01:59.077873+07:00,Hà Nội,186,18.2,54.0,2025-01-21,21,1,Night Few Clouds
2025-01-21 22:02:00.659032+07:00,Hà Nội,189,15.3,62.0,2025-01-21,22,1,Scattered Clouds
2025-01-21 23:02:00.750603+07:00,Hà Nội,181,12.6,69.0,2025-01-21,23,1,Scattered Clouds
2025-01-22 00:02:00.519044+07:00,Hà Nội,174,10.3,73.0,2025-01-22,0,1,Scattered Clouds
2025-01-22 01:02:00.640241+07:00,Hà Nội,171,9.7,77.0,2025-01-22,1,1,Scattered Clouds
