timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-05-01T00:01:50.168014+07:00,Hà Nội,163,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,91%
2025-05-01T01:01:55.612938+07:00,Hà Nội,158,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,94%
2025-05-01T02:01:40.649316+07:00,Hà Nội,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,94%
2025-05-01T03:01:47.954571+07:00,Hà Nội,155,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.3 km/h,92%
2025-05-01T04:01:50.921701+07:00,Hà Nội,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.3 km/h,92%
2025-05-01T05:01:40.141802+07:00,Hà Nội,153,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.7 km/h,92%
2025-05-01T06:01:45.055766+07:00,Hà Nội,149,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.6 km/h,93%
2025-05-01T07:05:17.386261+07:00,Hà Nội,147,/dl/web/weather/ic-w-06-rain-full.svg,6.0 km/h,95%
2025-05-01T08:29:27.826671+07:00,Hà Nội,65,/dl/web/weather/ic-w-06-rain-full.svg,7.7 km/h,95%
2025-05-01T09:32:21.018863+07:00,Hà Nội,64,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.3 km/h,95%
2025-05-01T10:21:44.118910+07:00,Hà Nội,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.5 km/h,95%
2025-05-01T11:04:37.014757+07:00,Hà Nội,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,89%
2025-05-01T12:01:39.149269+07:00,Hà Nội,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,89%
2025-05-01T13:01:47.864626+07:00,Hà Nội,75,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.5 km/h,83%
2025-05-01T14:01:37.131224+07:00,Hà Nội,82,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.5 km/h,83%
2025-05-01T15:01:45.700022+07:00,Hà Nội,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.2 km/h,71%
2025-05-01T16:01:44.789536+07:00,Hà Nội,65,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.7 km/h,78%
2025-05-01T17:01:38.204650+07:00,Hà Nội,58,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.7 km/h,78%
2025-05-01T18:01:32.793600+07:00,Hà Nội,55,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.0 km/h,76%
2025-05-01T19:01:54.261945+07:00,Hà Nội,60,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,85%
2025-05-01T20:07:59.217805+07:00,Hà Nội,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,87%
2025-05-01T21:01:55.518228+07:00,Hà Nội,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,87%
2025-05-01T22:01:38.118546+07:00,Hà Nội,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.3 km/h,87%
2025-05-01T23:01:54.686885+07:00,Hà Nội,77,/dl/web/weather/ic-w-12-night-rain-full.svg,4.7 km/h,88%
2025-05-02T00:01:36.806918+07:00,Hà Nội,73,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.4 km/h,88%
2025-05-02T01:01:47.738098+07:00,Hà Nội,68,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,88%
2025-05-02T02:01:30.020522+07:00,Hà Nội,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,88%
2025-05-02T03:01:39.280550+07:00,Hà Nội,72,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,90%
2025-05-02T04:01:32.600314+07:00,Hà Nội,78,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.0 km/h,91%
2025-05-02T05:01:43.363445+07:00,Hà Nội,85,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.0 km/h,91%
2025-05-02T06:01:26.754546+07:00,Hà Nội,101,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.5 km/h,91%
2025-05-02T07:04:35.794060+07:00,Hà Nội,129,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.1 km/h,86%
2025-05-02T08:28:58.354318+07:00,Hà Nội,152,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.1 km/h,80%
2025-05-02T09:29:40.273524+07:00,Hà Nội,147,/dl/web/weather/ic-w-02-new-clouds-full.svg,2.3 km/h,70%
2025-05-02T10:17:36.870580+07:00,Hà Nội,154,/dl/web/weather/ic-w-02-new-clouds-full.svg,2.6 km/h,63%
2025-05-02T11:01:38.813838+07:00,Hà Nội,154,/dl/web/weather/ic-w-02-new-clouds-full.svg,2.6 km/h,63%
2025-05-02T12:01:50.795831+07:00,Hà Nội,137,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.0 km/h,52%
2025-05-02T13:02:00.286452+07:00,Hà Nội,107,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.0 km/h,52%
2025-05-02T14:01:37.380387+07:00,Hà Nội,102,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,4.5 km/h,49%
2025-05-02T15:01:51.017366+07:00,Hà Nội,96,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.0 km/h,47%
2025-05-02T16:01:41.420535+07:00,Hà Nội,92,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.0 km/h,47%
2025-05-02T17:01:43.693324+07:00,Hà Nội,88,/dl/web/weather/ic-w-02-new-clouds-full.svg,18.8 km/h,63%
2025-05-02T18:01:38.140081+07:00,Hà Nội,84,/dl/web/weather/ic-w-02-new-clouds-full.svg,18.8 km/h,63%
2025-05-02T19:02:06.467384+07:00,Hà Nội,84,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,19.3 km/h,73%
2025-05-02T20:08:23.985352+07:00,Hà Nội,154,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,17.7 km/h,76%
